Gomphrena leucocephala
Gomphrena pulvinata
Cearanthes fuscoviolacea
Griffinia angustifolia
Hippeastrum stylosum
Zephyranthes lucida
Apterokarpos gardneri
Annona vepretorum
Duguetia dicholepidota
Allamanda calcicola
Ditassa dolichoglossa
Mandevilla catimbauensis
Mandevilla dardanoi
Mandevilla duartei
Mandevilla eximia
Mandevilla hatschbachii
Mandevilla leptophylla
Matelea roulinioides
Minaria harleyi
Minaria volubilis
Monsanima morrenioides
Morilloa lutea
Oxypetalum cordifolium
Oxypetalum cordifolium subsp. harleyi
Petalostelma cearense
Petalostelma dardanoi
Ruehssia bahiensis
Ruehssia breviramosa
Ruehssia caatingae
Ruehssia heringeri
Ruehssia megalantha
Ruehssia nana
Ruehssia pickelii
Ruehssia trisegmentata
Ruehssia ulei
Schubertia hatschbachii
Anthurium bromelicola
Anthurium bromelicola subsp. bromelicola
Anthurium harleyi
Anthurium montezumense
Anthurium petrophilum
Aralia bahiana
Syagrus harleyi
Acritopappus catolesensis
Acritopappus confertus
Acritopappus connatifolius
Acritopappus heterolepis
Acritopappus micropappus
Agrianthus almasensis
Agrianthus carvalhoi
Agrianthus empetrifolius
Agrianthus giuliettiae
Agrianthus luetzelburgii
Agrianthus microlicioides
Agrianthus pungens
Anteremanthus piranii
Arrojadocharis praxeloides
Arrojadocharis santosii
Aspilia andrade-limae
Aspilia bonplandiana
Aspilia cearensis
Aspilia itabaianensis
Aspilia procumbens
Aspilia subscandens
Baccharis alleluia
Baccharis orbiculata
Bishopiella elegans
Blanchetia coronata
Caatinganthus harleyi
Caatinganthus rubropappus
Chionolaena jeffreyi
Chresta artemisiifolia
Chresta harleyi
Chresta hatschbachii
Chresta heteropappa
Chresta martii
Chresta pacourinoides
Chresta subverticillata
Dissothrix imbricata
Eremanthus hatschbachii
Isocarpha megacephala
Lessingianthus morii
Lychnophora harleyi
Lychnophora phylicifolia
Lychnophora spiciformis
Lychnophora uniflora
Lychnophorella bishopii
Lychnophorella blanchetii
Lychnophorella hindii
Lychnophorella jacobinensis
Lychnophorella morii
Lychnophorella regis
Lychnophorella santosii
Lychnophorella saxicola
Lychnophorella sericea
Lychnophorella triflora
Paralychnophora atkinsiae
Paralychnophora bicolor
Paralychnophora harleyi
Paralychnophora reflexoauriculata
Pectis oligocephala
Pectis oligocephala var. affinis
Piqueriella brasiliensis
Porophyllum bahiense
Pseudostifftia kingii
Scherya bahiensis
Semiria viscosa
Senecio almasensis
Senecio harleyi
Senecio regis
Stilpnopappus cearensis
Stilpnopappus laiseae
Stilpnopappus scaposus
Stilpnopappus semirianus
Stilpnopappus suffruticosus
Stilpnopappus tomentosus
Stylotrichium corymbosum
Stylotrichium edmundoi
Stylotrichium glomeratum
Stylotrichium hortensiae
Stylotrichium rotundifolium
Stylotrichium sucrei
Telmatophila scolymastrum
Trichogonia heringeri
Begonia fellereriana
Begonia lealii
Begonia paganuccii
Begonia ruhlandiana
Adenocalymma ackermannii
Adenocalymma apparicianum
Adenocalymma candolleanum
Adenocalymma cristicalyx
Adenocalymma dichilum
Adenocalymma mirabile
Adenocalymma subspicatum
Cuspidaria argentea
Cuspidaria cratensis
Cuspidaria multiflora
Fridericia limae
Fridericia pliciflora
Fridericia subverticillata
Jacaranda heterophylla
Jacaranda rugosa
Mansoa ivanii
Mansoa longicalyx
Mansoa paganuccii
Sparattosperma catingae
Tanaecium paradoxum
Aechmea avaldoana
Aechmea bahiana
Aechmea seidelii
Alcantarea vandenbergii
Bromelia auriculata
Bromelia estevesii
Bromelia gurkeniana
Bromelia gurkeniana var. funchiana
Cottendorfia florida
Cryptanthus arelii
Cryptanthus crassifolius
Cryptanthus diamantinensis
Cryptanthus warren-loosei
Dyckia ascendens
Dyckia burlemarxii
Dyckia congesta
Dyckia erectiflora
Dyckia maracasensis
Dyckia maxima
Dyckia pernambucana
Dyckia pierrebruanii
Dyckia viridiflora
Hohenbergia arcuata
Hohenbergia conquistensis
Hohenbergia edmundoi
Hohenbergia horrida
Hohenbergia igatuensis
Hohenbergia lativaginata
Hohenbergia leopoldo-horstii
Hohenbergia magnispina
Hohenbergia pennae
Hohenbergia rosea
Hohenbergia undulatifolia
Hohenbergia vestita
Neoglaziovia burlemarxii
Neoglaziovia concolor
Neoglaziovia variegata
Neoregelia mucugensis
Orthophytum alagoanum
Orthophytum argentum
Orthophytum braunii
Orthophytum cearense
Orthophytum conquistense
Orthophytum erigens
Orthophytum harleyi
Orthophytum jabrense
Orthophytum jacaraciense
Orthophytum lemei
Orthophytum macroflorum
Orthophytum minimum
Orthophytum riocontense
Orthophytum santosianum
Orthophytum toscanoi
Orthophytum triunfense
Pitcairnia limae
Sincoraea albopicta
Sincoraea amoena
Sincoraea burle-marxii
Sincoraea hatschbachii
Sincoraea heleniceae
Sincoraea humilis
Sincoraea mucugensis
Sincoraea navioides
Sincoraea ophiuroides
Sincoraea rafaelii
Sincoraea ulei
Tillandsia catimbauensis
Tillandsia itatiensis
Tillandsia milagrensis
Tillandsia paraibensis
Tillandsia renateehlersiae
Tillandsia stricta
Tillandsia stricta subsp. piniformis
Vriesea baturitensis
Vriesea exaltata
Vriesea limae
Vriesea sincorana
Arrojadoa albiflora
Arrojadoa bahiensis
Arrojadoa leucostele
Arrojadoa luetzelburgii
Arrojadoa marylaniae
Arrojadoa multiflora
Arrojadoa olsthoorniana
Arrojadoa penicillata
Arrojadoa penicillata subsp. penicillata
Arrojadoa penicillata subsp. grandis
Arrojadoa penicillata subsp. minensis
Cereus albicaulis
Cereus jamacaru
Cereus jamacaru subsp. jamacaru
Coleocephalocereus aureus
Coleocephalocereus goebelianus
Coleocephalocereus purpureus
Discocactus bahiensis
Discocactus bahiensis Britton & Rose
Discocactus bahiensis subsp. gracilis
Discocactus buenekeri
Discocactus zehntneri
Discocactus zehntneri subsp. zehntneri
Discocactus zehntneri subsp. boomianus
Espostoopsis dybowskii
Espostoopsis dybowskii subsp. dybowskii
Espostoopsis dybowskii subsp. contasensis
Facheiroa bragaia
Facheiroa cephaliomelana
Facheiroa cephaliomelana subsp. cephaliomelana
Facheiroa cephaliomelana subsp. estevesii
Facheiroa squamosa
Facheiroa squamosa subsp. squamosa
Facheiroa squamosa subsp. chaetacantha
Facheiroa ulei
Harrisia adscendens
Melocactus azureus
Melocactus braunii
Melocactus brederooianus
Melocactus deinacanthus
Melocactus ferreophilus
Melocactus glaucescens
Melocactus inconcinnus
Melocactus lanssensianus
Melocactus levitestatus
Melocactus longicarpus
Melocactus oreas
Melocactus oreas subsp. oreas
Melocactus pachyacanthus
Melocactus pachyacanthus subsp. pachyacanthus
Melocactus pachyacanthus subsp. viridis
Melocactus paucispinus
Melocactus salvadorensis
Melocactus sergipensis
Melocactus violaceus
Melocactus violaceus subsp. ritteri
Micranthocereus flaviflorus
Micranthocereus flaviflorus subsp. flaviflorus
Micranthocereus flaviflorus subsp. alvinii
Micranthocereus hofackerianus
Pereskia bahiensis
Pilosocereus catimbauensis
Pilosocereus catingicola
Pilosocereus catingicola subsp. catingicola
Pilosocereus chrysostele
Pilosocereus chrysostele subsp. chrysostele
Pilosocereus chrysostele subsp. cearensis
Pilosocereus densiareolatus
Pilosocereus magnificus
Pilosocereus pachycladus
Pilosocereus pachycladus subsp. pernambucoensis
Pilosocereus pachycladus subsp. viridis
Pilosocereus piauhyensis
Quiabentia zehntneri
Rhipsalis floccosa
Rhipsalis floccosa subsp. oreophila
Tacinga braunii
Tacinga funalis
Tacinga inamoena
Tacinga palmadora
Tacinga saxatilis
Tacinga saxatilis subsp. estevesii
Tacinga subcylindrica
Tacinga werneri
Xiquexique bohlei
Colicodendron yco
Neocalyptrocalyx longifolium
Cuervea crenulata
Elachyptera coriacea
Monteverdia mucugensis
Monteverdia psammophila
Monteverdia truncata
Pristimera sclerophylla
Haptocarpum bahiense
Physostemon tenuifolium
Tarenaya siliculifera
Clusia burle-marxii
Clusia ibiapabensis
Clusia nogueirae
Clusia pilgeriana
Dichorisandra saxatilis
Distimake igneus
Evolvulus altissimus
Evolvulus anagalloides
Evolvulus comosus
Evolvulus daphnoides
Evolvulus echioides
Evolvulus elaeagnifolius
Evolvulus flavus
Evolvulus frankenioides
Evolvulus frankenioides var. elongatus
Evolvulus ovatus
Evolvulus saxatilis
Ipomoea ana-mariae
Ipomoea cearensis
Ipomoea connata
Ipomoea fasciculata
Ipomoea franciscana
Ipomoea longistaminea
Ipomoea marcellia
Ipomoea pintoi
Ipomoea serrana
Ipomoea tenera
Ipomoea vespertilia
Jacquemontia chrysanthera
Jacquemontia diamantinensis
Jacquemontia erecta
Jacquemontia macrocalyx
Jacquemontia saxicola
Jacquemontia staplesii
Cordia incognita
Cordia obtusiloba
Cordia oncocalyx
Varronia dardani
Varronia glandulosa
Varronia harleyi
Varronia leucocephala
Varronia leucomalloides
Varronia mariana
Varronia striata
Costus atlanticus
Apodanthera fasciculata
Apodanthera glaziovii
Apodanthera hindii
Apodanthera pedisecta
Apodanthera succulenta
Bulbostylis decidua
Cyperus alvesii
Cyperus brumadoi
Cyperus grossianus
Cyperus potiguar
Cyperus thomasii
Eleocharis bahiensis
Eleocharis obpyriformis
Fuirena lainzii
Rhynchospora aberrans
Rhynchospora calderana
Dioscorea mucronata
Dioscorea piauhyensis
Dioscorea psammophila
Keraunea brasiliensis
Bergia arenarioides
Actinocephalus herzogii
Comanthera borbae
Comanthera floccosa
Comanthera mucugensis
Comanthera mucugensis subsp. mucugensis
Comanthera mucugensis subsp. riocontensis
Comanthera pignalii
Comanthera retroflexa
Eriocaulon griseum
Eriocaulon kulumi
Eriocaulon pyatan
Leiothrix bracteosa
Leiothrix hirsuta
Leiothrix hirsuta var. blanchetiana
Leiothrix raymondii
Paepalanthus almasensis
Paepalanthus carvalhoi
Paepalanthus cinereus
Paepalanthus elongatus
Paepalanthus elongatus var. graminifolius
Paepalanthus harleyi
Paepalanthus inopinatus
Paepalanthus lutzelburgii
Paepalanthus macrocaulon
Paepalanthus macrocaulon var. contasensis
Paepalanthus magistrae
Paepalanthus obtusifolius
Paepalanthus parvus
Paepalanthus pulvinatus
Paepalanthus schuechianus
Paepalanthus spathulatus
Paepalanthus stannardii
Erythroxylum angelicae
Erythroxylum caatingae
Erythroxylum loefgrenii
Erythroxylum longisetulosum
Erythroxylum pungens
Erythroxylum pyan
Erythroxylum rosuliferum
Acalypha arciana
Argythamnia desertorum
Argythamnia grazielae
Argythamnia malpighiacea
Bahiana pyriformis
Bernardia hamadryadica
Caperonia multicostata
Cnidoscolus adenoblepharus
Cnidoscolus adenochlamys
Cnidoscolus byssinus
Cnidoscolus hypokerinus
Cnidoscolus obtusifolius
Cnidoscolus populifolius
Croton adamantinus
Croton araripensis
Croton arenosus
Croton catinganus
Croton glandulosodentatus
Croton harleyi
Croton imbricatus
Croton japirensis
Croton kalkmannii
Croton paludosus
Croton rudolphianus
Croton salzmannii
Croton schultesii
Croton tridentatus
Dalechampia alata
Dalechampia allemii
Dalechampia fernandesii
Dalechampia purpurata
Euphorbia alsinifolia
Euphorbia appariciana
Euphorbia chamaeclada
Euphorbia flaviana
Euphorbia heterodoxa
Euphorbia lycioides
Euphorbia phosphorea
Euphorbia sobolifera
Euphorbia tamanduana
Euphorbia teres
Gradyana franciscana
Jatropha calcarea
Jatropha longibracteata
Jatropha mollissima
Jatropha mollissima var. villosa
Jatropha mutabilis
Jatropha paganuccii
Jatropha palmatipartita
Manihot alterniflora
Manihot brachyandra
Manihot caerulescens
Manihot caerulescens subsp. laevis
Manihot diamantinensis
Manihot dichotoma
Manihot elongata
Manihot fortalezensis
Manihot pohliana
Manihot quinquefolia
Sebastiania macrocarpa
Sebastiania trinervia
Stillingia loranthacea
Stillingia trapezoidea
Abarema diamantina
Amburana erythrosperma
Arachis giacomettii
Arachis interrupta
Arachis seridoensis
Arachis triseminata
Bauhinia funchiana
Bauhinia orbiculata
Calliandra bahiana
Calliandra bahiana var. bahiana
Calliandra bahiana var. erythematosa
Calliandra blanchetii
Calliandra coccinea
Calliandra coccinea var. coccinea
Calliandra coccinea var. trimera
Calliandra crassipes
Calliandra cumbucana
Calliandra debilis
Calliandra elegans
Calliandra feioana
Calliandra fernandesii
Calliandra fuscipila
Calliandra ganevii
Calliandra geraisensis
Calliandra germana
Calliandra hirsuticaulis
Calliandra hirtiflora
Calliandra hirtiflora var. hirtiflora
Calliandra hirtiflora var. ripicola
Calliandra hygrophila
Calliandra iligna
Calliandra imbricata
Calliandra imperialis
Calliandra involuta
Calliandra lanata
Calliandra lintea
Calliandra longipinna
Calliandra luetzelburgii
Calliandra macrocalyx
Calliandra macrocalyx var. macrocalyx
Calliandra macrocalyx var. aucta
Calliandra mucugeana
Calliandra nebulosa
Calliandra paganuccii
Calliandra paterna
Calliandra pilgerana
Calliandra pubens
Calliandra renvoizeana
Calliandra sincorana
Calliandra squarrosa
Calliandra stelligera
Calliandra ulei
Centrosema sericiflorum
Chamaecrista arboae
Chamaecrista belemii
Chamaecrista belemii var. belemii
Chamaecrista belemii var. paludicola
Chamaecrista cuprea
Chamaecrista desvauxii
Chamaecrista desvauxii var. circumdata
Chamaecrista eitenorum
Chamaecrista eitenorum var. regana
Chamaecrista oppositifolia
Chamaecrista punctulifera
Copaifera arenicola
Copaifera cearensis
Coursetia caatingicola
Cratylia bahiensis
Cratylia mollis
Crotalaria bahiensis
Crotalaria brachycarpa
Crotalaria harleyi
Crotalaria holosericea
Ctenodon carvalhoi
Ctenodon chicocesarianus
Ctenodon lewisianus
Ctenodon martii
Ctenodon sabulicolus
Ctenodon soniae
Dahlstedtia castaneifolia
Dalbergia catingicola
Delgadoa bambuicola
Diptychandra aurantiaca subsp. epunctata
Diptychandra aurantiaca
Discolobium hirtum
Galactia remansoana
Harpalyce lanata
Harpalyce riparia
Indigofera blanchetiana
Leptolobium parvifolium
Luetzelburgia bahiensis
Luetzelburgia harleyi
Luetzelburgia neurocarpa
Macropsychanthus grandiflorus
Macropsychanthus marginatus
Macroptilium cochleatum
Mimosa brevipinna
Mimosa exalbescens
Mimosa glaucula
Mimosa hirsuticaulis
Mimosa hortensis
Mimosa leptantha
Mimosa misera
Mimosa misera var. misera
Mimosa misera var. subinermis
Mimosa modesta
Mimosa modesta var. ursinoides
Mimosa nothopteris
Mimosa xiquexiquensis
Moldenhawera brasiliensis
Neptunia windleriana
Peltogyne pauciflora
Piptadenia irwinii
Pithecellobium diversifolium
Pityrocarpa moniliformis
Pityrocarpa obliqua
Pityrocarpa obliqua subsp. brasiliensis
Platymiscium pubescens
Platymiscium pubescens subsp. zehntneri
Poeppigia densiflora
Pterocarpus villosus
Pterocarpus zehntneri
Rhynchosia franciscana
Riedeliella magalhaesii
Senegalia cearensis
Senegalia ricoae
Senna bracteosa
Senna cana
Senna cana var. calva
Senna franciscana
Senna harleyi
Senna macranthera
Senna macranthera var. micans
Sesbania laevigata
Stylosanthes minima
Stylosanthes mitzii
Stylosanthes seabrana
Zornia gardneriana
Zornia grandiflora
Zornia ulei
Schultesia angustifolia
Columnea ulei
Sinningia ganevii
Sinningia harleyi
Sinningia sulphurea
Euploca barbata
Myriopus andradelimae
Prosopanche caatingicola
Najas arguta
Najas arguta var. podostemon
Calydorea gardneri
Neomarica eburnea
Isoetes luetzelburgii
Cyanocephalus delicatulus
Eplingiella brightoniae
Eplingiella cuniloides
Eriope anamariae
Eriope confusa
Eriope crassifolia
Eriope exaltata
Eriope luetzelburgii
Eriope montana
Eriope monticola
Eriope obovata
Eriope obovata var. obovata
Eriope obovata var. gracilis
Eriope polyphylla
Eriope sincorana
Eriope viscosa
Hyptis bahiensis
Leptohyptis leptostachys
Leptohyptis leptostachys subsp. caatingae
Leptohyptis pinheiroi
Leptohyptis siphonantha
Martianthus leucocephalus
Martianthus sancti-gabrielii
Martianthus stachydifolius
Medusantha carvalhoi
Medusantha simulans
Mesosphaerum caatingense
Mesosphaerum irwinii
Oocephalus argyrophyllus
Oocephalus argyrophyllus subsp. argyrophyllus
Oocephalus argyrophyllus var. pedunculatus
Oocephalus crassifolius
Oocephalus ganevii
Oocephalus hagei
Oocephalus halimifolius
Oocephalus nubicola
Oocephalus pauciflorus
Oocephalus rigens
Oocephalus silvinae
Oocephalus tenuithyrsus
Physominthe longicaulis
Salvia rupestris
Vitex gardneriana
Vitex martii
Aniba subbullata
Cinnamomum rubrinervium
Ceratolejeunea falcatodentata
Genlisea exhibitionista
Genlisea uncinata
Ameroglossum manoel-felixii
Ameroglossum pernambucense
Isabelcristinia aromatica
Aosa gilgiana
Aosa sigmoidea
Spigelia alborubra
Spigelia brachystachya
Spigelia kuhlmannii
Phthirusa macrophylla
Cuphea campestris
Cuphea loefgrenii
Pleurophora anomala
Pleurophora pulchra
Amorimia candidae
Amorimia pellegrinii
Amorimia septentrionalis
Banisteriopsis quadriglandula
Barnebya harleyi
Diplopterys bahiana
Diplopterys sepium
Glicophyllum cardiophyllum
Glicophyllum latibracteolatum
Glicophyllum turnerae
Heteropterys arcuata
Heteropterys caducibracteata
Heteropterys parvifructa
Mcvaughia bahiana
Mcvaughia piauhiensis
Peixotoa adenopoda
Peixotoa megalantha
Stigmaphyllon caatingicola
Ayenia hirta
Ayenia noblickii
Byttneria fernandesii
Callianthe andrade-limae
Ceiba rubriflora
Gaya dentata
Gaya grandiflora
Gaya macrantha
Gaya monosperma
Gaya xiquexiquensis
Gossypium mustelinum
Helicteres biflexa
Helicteres longepedunculata
Helicteres rufipila
Hibiscus peterianus
Luehea burretii
Pavonia blanchetiana
Pavonia capivarensis
Pavonia decora
Pavonia erythrolema
Pavonia glazioviana
